OBJECTID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,CNTY_PY,CNTY_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
1004,Xin Xian,莘县,莘縣,115.666298,36.237743,山东莘县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122026,FROM_AC,,孟刚,满志敏,2004/04/05
1005,Gaotang Zhou,高唐州,高唐州,116.231003,36.861622,山东高唐县县治,Zhou,州,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122027,FROM_AC,,孟刚,满志敏,2004/04/05
1006,En Xian,恩县,恩縣,116.275787,37.151123,山东平原县恩城,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122028,FROM_AC,,孟刚,满志敏,2004/04/05
1007,Zhangqiu Xian,章丘县,章丘縣,117.493904,36.814674,山东章丘县绣惠镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122029,FROM_AC,,孟刚,满志敏,2004/04/05
1008,Zouping Xian,邹平县,鄒平縣,117.726517,36.885693,山东邹平县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122030,FROM_AC,,孟刚,满志敏,2004/04/05
1009,Zichuan Xian,淄川县,淄川縣,117.962113,36.636993,山东淄博市淄川区,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122031,FROM_AC,,孟刚,满志敏,2004/04/05
1010,Changshan Xian,长山县,長山縣,117.866074,36.883369,山东邹平县长山镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122032,FROM_AC,,孟刚,满志敏,2004/04/05
1011,Qidong Xian,齐东县,齊東縣,117.512238,37.109581,山东邹平县台子,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122033,FROM_AC,,孟刚,满志敏,2004/04/05
1012,Jiyang Xian,济阳县,濟陽縣,117.211418,36.972935,山东济阳县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122034,FROM_AC,,孟刚,满志敏,2004/04/05
1013,Laiwu Xian,莱芜县,萊蕪縣,117.661728,36.205116,山东莱芜市市治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Tai'an Fu,泰安府,,,120013,POINT,122035,FROM_AC,,孟刚,满志敏,2004/04/05
1014,Haifeng Xian,海丰县,海豐縣,117.601212,37.740623,山东无棣县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Wuding Fu,武定府,,,120013,POINT,122036,FROM_AC,,孟刚,满志敏,2004/04/05
