FID_,OBJECTID,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,57,Leizhou Fu,雷州府,雷州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195157,FROM_FD,满志敏,满志敏, ,2002/10/31,110.092002,20.861999,8012.001953
,58,Lianzhou Fu,廉州府,廉州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195158,FROM_FD,满志敏,满志敏, ,2002/10/31,109.287002,22.097999,9539.313476
,59,Qin Zhou,钦州,欽州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195159,FROM_FD,满志敏,满志敏, ,2002/10/31,108.446998,21.965099,8476.022460
,60,Qiongzhou Fu,琼州府,瓊州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195160,FROM_FD,满志敏,满志敏, ,2002/10/31,109.741996,19.193500,33821.191406
,61,Zhangzhou Fu,漳州府,漳州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195161,FROM_FD,满志敏,满志敏, ,2002/07/10,117.433998,24.365900,12774.388671
,62,Tingzhou Fu,汀州府,汀州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195162,FROM_FD,满志敏,满志敏, ,2002/07/10,116.638999,25.604200,19660.232421
,63,Quanzhou Fu,泉州府,泉州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195163,FROM_FD,满志敏,满志敏, ,2002/07/10,118.250999,24.966699,8845.778320
,64,Longyan Zhou,龙岩州,龍岩州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195164,FROM_FD,满志敏,满志敏, ,2002/07/10,117.263000,25.309900,5920.712890
,65,Xinghua Fu,兴化府,興化府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195165,FROM_FD,满志敏,满志敏, ,2002/07/10,118.870002,25.457399,3741.635742
,66,Fuzhou Fu,福州府,福州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195166,FROM_FD,满志敏,满志敏, ,2002/07/10,119.099998,26.225299,15512.260742
,67,Funing Fu,福宁府,福寧府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195167,FROM_FD,满志敏,满志敏, ,2002/07/10,119.704002,27.082399,9220.170898
,68,Jianning Fu,建宁府,建寧府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195168,FROM_FD,满志敏,满志敏, ,2002/07/10,118.369003,27.462600,17559.980468
,69,Shaowu Fu,邵武府,邵武府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195169,FROM_FD,满志敏,满志敏, ,2002/07/10,117.226997,27.193199,8460.212890
,70,Yanping Fu,延平府,延平府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195170,FROM_FD,满志敏,满志敏, ,2002/07/10,117.818000,26.378000,15200.517578
,71,Yongchun Zhou,永春州,永春州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Fujian,福建, , ,120005,POLYGON,195171,FROM_FD,满志敏,满志敏, ,2002/07/10,118.050003,25.643299,5988.122558
,72,Huizhou Fu,徽州府,徽州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195172,FROM_FD,满志敏,满志敏, ,2002/12/10,118.055999,29.726100,11856.748046
,73,Anqing Fu,安庆府,安慶府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195173,FROM_FD,满志敏,满志敏, ,2002/12/10,116.606002,30.588399,14751.436523
,74,Chizhou Fu,池州府,池州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195174,FROM_FD,满志敏,满志敏, ,2002/12/10,117.436996,30.350000,9937.167968
,75,Ningguo Fu,宁国府,寧國府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195175,FROM_FD,满志敏,满志敏, ,2002/12/10,118.564002,30.638099,11397.897460
,76,Luzhou Fu,庐州府,廬州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195176,FROM_FD,满志敏,满志敏, ,2002/12/10,117.374000,31.559099,14451.198242
,77,Taiping Fu,太平府,太平府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195177,FROM_FD,满志敏,满志敏, ,2002/12/10,118.457000,31.366199,3502.208984
,78,Fengyang Fu,凤阳府,鳳陽府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195178,FROM_FD,满志敏,满志敏, ,2002/12/10,117.163002,32.972400,24161.968750
,79,Yingzhou Fu,颍州府,潁州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195179,FROM_FD,满志敏,满志敏, ,2002/12/10,115.959999,32.981899,22673.476562
,80,Si Zhou,泗州,泗州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195180,FROM_FD,满志敏,满志敏, ,2002/12/10,118.287002,33.093299,11509.197265
,81,Chu Zhou,滁州,滁州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195181,FROM_FD,满志敏,满志敏, ,2002/12/10,118.245002,32.290500,4560.108398
,82,He Zhou,和州,和州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195182,FROM_FD,满志敏,满志敏, ,2002/12/10,118.180999,31.687700,2700.545898
,83,Guangde Zhou,广德州,廣德州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195183,FROM_FD,满志敏,满志敏, ,2002/12/10,119.287002,30.962099,3314.687744
,84,Liu'an Zhou,六安州,六安州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , ,120004,POLYGON,195184,FROM_FD,满志敏,满志敏, ,2002/12/10,116.181999,31.388200,9903.084960
,85,Hai Zhou,海州,海州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195186,FROM_FD,满志敏,满志敏, ,2002/05/15,119.047996,34.433601,10267.574218
,86,Huai'an Fu,淮安府,淮安府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195187,FROM_FD,满志敏,满志敏, ,2002/05/15,119.538002,33.689498,19587.322265
,87,Yangzhou Fu,扬州府,揚州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195188,FROM_FD,满志敏,满志敏, ,2002/05/15,119.908996,32.803001,17408.375000
,88,Tong Zhou,通州,通州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195189,FROM_FD,满志敏,满志敏, ,2002/05/15,120.761001,32.213001,7198.452148
,89,Jiangning Fu,江宁府,江寧府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195190,FROM_FD,满志敏,满志敏, ,2002/09/30,118.892997,31.941400,8286.202148
,90,Zhenjiang Fu,镇江府,鎮江府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195191,FROM_FD,满志敏,满志敏, ,2002/09/30,119.510002,31.805999,5039.559082
,91,Changzhou Fu,常州府,常州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195192,FROM_FD,满志敏,满志敏, ,2002/09/10,120.070999,31.640300,7674.236328
,92,Suzhou Fu,苏州府,蘇州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195193,FROM_FD,满志敏,满志敏, ,2002/09/10,120.633003,31.349199,7243.328125
,93,Taicang Zhou,太仓州,太倉州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195194,FROM_FD,满志敏,满志敏, ,2002/09/10,121.377998,31.541400,2693.501464
